species,type,english_name
Ranunculus bulbosus,Angiosperm,Bulbous Buttercup
Juncus bulbosus,Angiosperm,Bulbous Rush
Bulgaria inquinans,Fungus,Bulgaria inquinans
Myoxocephalus scorpius,Fish,Bull Rout
Prunus domestica subsp. insititia,Angiosperm,Bullace
Pyrrhula pyrrhula,Bird,Bullfinch
Typha latifolia,Angiosperm,Bulrush
Nonagria typhae,Moth,Bulrush Wainscot
Anthriscus caucalis,Angiosperm,Bur Chervil
Rosa pimpinellifolia,Angiosperm,Burnet Rose
Rosa spinosissima,Angiosperm,Burnet Rose
Pimpinella saxifraga,Angiosperm,Burnet-saxifrage
Diachrysia chrysitis,Moth,Burnished Brass
Vicia sepium,Angiosperm,Bush Vetch
Hydraecia petasitis,Moth,Butterbur
Petasites hybridus,Angiosperm,Butterbur
Pholis gunnellus,Fish,Butterfish
Buddleja davidii,Angiosperm,Butterfly-bush
Cotula dioica,Angiosperm,Buttonweed
Buteo buteo,Bird,Buzzard
Watersipora arcuata,Bryozoa,Byrozoan
Mamestra brassicae,Moth,Cabbage Moth
Cordyline australis,Angiosperm,Cabbage-palm
Branta hutchinsii,Bird,Cackling Goose
Cadlina laevis,Sea slug,Cadlina laevis
Cafius xantholoma,Bird,Cafius xantholoma
Melanocorypha calandra,Bird,Calandra Lark
Calathus erratus,Beetle,Calathus erratus
Callicorixa praeusta,True bug,Callicorixa praeusta
Callithamnion tetragonum,Alga (marine),Callithamnion tetragonum
Caloplaca crenularia,Lichen,Caloplaca crenularia
Caloplaca flavescens,Lichen,Caloplaca flavescens
Caloplaca thallincola,Lichen,Caloplaca thallincola
Calvatia excipuliformis,Fungus,Calvatia excipuliformis
Calvatia utriformis,Fungus,Calvatia utriformis
